epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5857,0,95.6238,0,0,0,0,0,0,227.039,0,4e-05,4e-05,4e-05
2,56.6159,0,94.0094,0,0,0,0,0,0,227.498,0,9.802e-05,9.802e-05,9.802e-05
3,85.9222,0,92.3926,0,0,0,0,0,0,227.825,0,0.000153664,0.000153664,0.000153664
4,111.384,0,90.5146,0,0,0,0,0,0,229.051,0,0.000206932,0.000206932,0.000206932
5,137.115,0,87.8387,0,0,0,0,0,0,230.112,0,0.000257824,0.000257824,0.000257824
6,160.406,0,83.7052,0,0,0,0,0,0,229.424,0,0.00030634,0.00030634,0.00030634
7,184.006,0,80.2051,0,0,0,0,0,0,229.396,0,0.00035248,0.00035248,0.00035248
8,209.37,0,76.7777,0,0,0,0,0,0,230.416,0,0.000396244,0.000396244,0.000396244
9,236.498,0,73.8764,0,0,0,0,0,0,231.805,0,0.000437632,0.000437632,0.000437632
10,261.172,0,71.4854,0,0,0,0,0,0,228.306,0,0.000476644,0.000476644,0.000476644
11,284.538,0,69.7153,0,0,0,0,0,0,207.015,0,0.00051328,0.00051328,0.00051328
12,310.774,0,67.9403,0,0,0,0,0,0,202.636,0,0.00054754,0.00054754,0.00054754
13,337.031,0,65.484,0,0,0,0,0,0,229.799,0,0.000579424,0.000579424,0.000579424
14,365.041,0,65.9451,0,0,0,0,0,0,193.781,0,0.000608932,0.000608932,0.000608932
15,392.851,0,63.9,0,0,0,0,0,0,176.915,0,0.000636064,0.000636064,0.000636064
16,416.659,0,61.535,0,0,0,0,0,0,1295.4,0,0.00066082,0.00066082,0.00066082
17,440.241,0,62.8606,0,0,0,0,0,0,1874.5,0,0.0006832,0.0006832,0.0006832
18,464.271,0,60.0262,0,0,0,0,0,0,202.197,0,0.000703204,0.000703204,0.000703204
19,489.424,0,58.8311,0,0,0,0,0,0,163.86,0,0.000720832,0.000720832,0.000720832
20,512.717,0,57.6866,0,0,0,0,0,0,268.012,0,0.000736084,0.000736084,0.000736084
21,535.846,0,57.0019,0,0,0,0,0,0,135.046,0,0.00074896,0.00074896,0.00074896
22,558.824,0,57.0135,0,0,0,0,0,0,125.317,0,0.00075946,0.00075946,0.00075946
23,581.084,0,57.0004,0,0,0,0,0,0,126.1,0,0.000767584,0.000767584,0.000767584
24,604.897,0,55.6071,0,0,0,0,0,0,1761.72,0,0.000773332,0.000773332,0.000773332
25,627.926,0,54.5504,0,0,0,0,0,0,116.583,0,0.000776704,0.000776704,0.000776704
26,654.422,0,53.7106,0,0,0,0,0,0,117.32,0,0.0007777,0.0007777,0.0007777
27,678.051,0,53.0529,0,0,0,0,0,0,117.655,0,0.00077632,0.00077632,0.00077632
28,701.74,0,52.2342,0,0,0,0,0,0,117.336,0,0.000772564,0.000772564,0.000772564
29,725.767,0,51.1735,0,0,0,0,0,0,117.336,0,0.000766432,0.000766432,0.000766432
30,749.847,0,51.1306,0,0,0,0,0,0,117.311,0,0.000757924,0.000757924,0.000757924
31,772.887,0,50.5005,0,0,0,0,0,0,125.034,0,0.00074704,0.00074704,0.00074704
32,795.263,0,49.8606,0,0,0,0,0,0,118.522,0,0.00073378,0.00073378,0.00073378
33,817.806,0,49.4618,0,0,0,0,0,0,118.522,0,0.000718144,0.000718144,0.000718144
34,840.366,0,49.6778,0,0,0,0,0,0,119.681,0,0.0006932,0.0006932,0.0006932
35,862.788,0,49.7891,0,0,0,0,0,0,115.173,0,0.0006536,0.0006536,0.0006536
36,885.312,0,48.8054,0,0,0,0,0,0,113.474,0,0.000614,0.000614,0.000614
37,908.15,0,48.3815,0,0,0,0,0,0,113.474,0,0.0005744,0.0005744,0.0005744
38,931.027,0,47.7595,0,0,0,0,0,0,113.076,0,0.0005348,0.0005348,0.0005348
39,953.554,0,47.928,0,0,0,0,0,0,111.326,0,0.0004952,0.0004952,0.0004952
40,976.364,0,47.5347,0,0,0,0,0,0,110.207,0,0.0004556,0.0004556,0.0004556
41,998.901,0,47.3112,0,0,0,0,0,0,110.207,0,0.000416,0.000416,0.000416
42,1022.6,0,47.0206,0,0,0,0,0,0,111.908,0,0.0003764,0.0003764,0.0003764
43,1045.32,0,46.9145,0,0,0,0,0,0,116.883,0,0.0003368,0.0003368,0.0003368
44,1067.92,0,46.3749,0,0,0,0,0,0,113.75,0,0.0002972,0.0002972,0.0002972
45,1090.47,0,46.3004,0,0,0,0,0,0,113.75,0,0.0002576,0.0002576,0.0002576
46,1114.1,0,46.0613,0,0,0,0,0,0,110.059,0,0.000218,0.000218,0.000218
47,1137.88,0,45.8469,0,0,0,0,0,0,108.536,0,0.0001784,0.0001784,0.0001784
48,1160.81,0,45.6154,0,0,0,0,0,0,108.773,0,0.0001388,0.0001388,0.0001388
49,1184.12,0,45.4705,0,0,0,0,0,0,108.773,0,9.92e-05,9.92e-05,9.92e-05
50,1207.02,0,45.2949,0,0,0,0,0,0,109.186,0,5.96e-05,5.96e-05,5.96e-05
